Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,PD
02JM2,AcnArb&TreMic,120,29,9,1.94491539,Hetero.diff,98,8,1.6559835282,6,15,1.674589567,12,0.75,143.33333333,,,498,54.460111111,2,3,2,27,8,1.868219625,0.25403638
02JM2,All,10,17,7,1.823873316,Hetero.All,126,16,2.0364626819,13,38,2.1203732256,4,1.75,198.75,283.63636364,115,305,109.0824053,5,6,6,5,3,1.054920168,0.431177611
02JM2,CapBac,60,24,9,2.0842010667,Intra,118,8,1.7866407093,3,13,0.9110175397,24,0.375,,595,,,83.181,2,1,1,20,7,1.8479008005,0
02JM2,CapBac&CasDec,120,7,4,1.1537419427,Hetero.diff,143,9,1.4901487727,5,11,1.3667110521,12,0.3333333333,,373.07692308,,,52.156153846,10,3,2,6,3,0.8675632285,0.270719892
02JM2,CapBac&CasSyl,120,12,7,1.7917594692,Hetero.diff,119,7,1.1832404433,4,4,1.3862943611,12,0.5833333333,,471.41666667,320,,71.85605,15,3,2,8,5,1.3862943611,0.267733558
02JM2,CapBac&CelIgu,120,18,7,1.7501584905,Hetero.diff,890,18,1.949175889,5,12,1.3522093992,12,0.5833333333,,420,,,58.716,15,3,2,9,4,1.149059697,0.265064061
02JM2,CapBac&TreMic,120,23,15,2.4227133566,Hetero.diff,419,25,2.2908326069,15,38,2.3574379963,12,1.25,,285.73333333,,444.16666667,49.421075556,5,3,2,19,11,2.0815989915,0.2643121
02JM2,CasDec,60,4,4,1.3862943611,Intra,50,7,1.1104170339,5,5,1.6094379124,24,0.1666666667,,,,,0,15,1,1,2,2,0.6931471806,0
02JM2,CasDec&CasSyl,30,8,4,1.213007566,Hetero.same,219,3,0.3449737139,0,0,0,12,0.3333333333,,,500,,9.3,40,2,2,2,2,0.6931471806,0.141899453
02JM2,CasDec&CelIgu,120,3,2,0.6365141683,Hetero.diff,0,0,0,1,1,0,12,0.1666666667,,,,,0,30,3,2,3,2,0.6365141683,0.244484426
02JM2,CasDec&TreMic,120,28,11,1.9960601286,Hetero.diff,91,10,1.2796976676,5,12,1.357977855,12,0.9166666667,,,,352,7.5093333333,3,3,2,25,8,1.7223941175,0.243732464
02JM2,CasSyl,60,4,3,1.0397207708,Intra,144,9,0.9768962132,3,3,1.0986122887,24,0.125,,,900,,16.74,15,1,1,3,2,0.6365141683,0
02JM2,CasSyl&CelIgu,120,7,5,1.4750763111,Hetero.diff,240,9,1.4286953425,4,4,1.3862943611,12,0.4166666667,,,188,,3.4968,10,3,2,2,2,0.6931471806,0.241498092
02JM2,CasSyl&TreMic,120,60,16,2.2857029834,Hetero.diff,252,23,2.0837782675,11,24,2.1666495656,12,1.3333333333,,,200,516.42857143,14.737142857,1,3,2,54,14,2.1014503244,0.24074613
02JM2,CelIgu,60,4,2,0.5623351446,Intra,24,3,0.544283733,2,5,0.5004024235,24,0.0833333333,,,,,0,30,1,1,4,2,0.5623351446,0
02JM2,CelIgu&TreMic,30,26,5,1.5324518213,Hetero.same,347,17,1.8448150116,7,26,1.7238719047,12,0.4166666667,,,,411.66666667,8.7822222222,10,2,2,26,5,1.5324518213,0.166769626
02JM2,TreMic,60,43,14,2.22619938,Intra,319,16,1.4469291101,5,14,1.2963611598,24,0.5833333333,,,,380.55555556,8.1185185185,10,1,1,35,10,1.8675320663,0
03SS,AcnArb,60,6,5,1.560710409,Intra,15,5,1.0805738484,1,1,0,24,0.2083333333,381.25,,,,116.59895833,31,1,1,6,5,1.560710409,0
03SS,AcnArb&CapBac,30,9,7,1.8891591638,Hetero.same,55,6,1.5712830881,3,3,1.0986122887,12,0.5833333333,140,412.22222222,,,100.44533333,40,2,2,9,7,1.8891591638,0.143088167
03SS,AcnArb&CasDec,120,12,8,2.0228085294,Hetero.diff,131,4,0.5580666499,6,11,1.5403058252,12,0.6666666667,260.41666667,,,,79.644097222,40,3,2,12,8,2.0228085294,0.260444172
03SS,AcnArb&CasSyl,120,10,4,1.2798542258,Hetero.diff,15,5,1.3953970923,4,7,1.3517839943,12,0.3333333333,353.75,,300,,113.76854167,50,3,2,10,4,1.2798542258,0.257457838
03SS,AcnArb&CelIgu,120,2,2,0.6931471806,Hetero.diff,151,5,0.9214769127,1,7,0,12,0.1666666667,258.75,,,,79.134375,20,3,2,2,2,0.6931471806,0.254788341
03SS,AcnArb&TreMic,120,17,8,1.9561874677,Hetero.diff,73,6,0.6522896822,0,0,0,12,0.6666666667,447,,,423.57142857,145.74369048,30,3,2,14,7,1.8095142558,0.25403638
03SS,All,10,22,14,2.5001380264,Hetero.All,56,8,1.3293795366,4,10,1.0888999753,4,3.5,255,249.25,57.5,372,121.83815,10,6,6,14,10,2.205598359,0.431177611
03SS,CapBac,60,21,8,1.7897275885,Intra,94,8,1.4757925852,9,49,1.089280544,24,0.3333333333,,1077.6111111,,,150.65003333,10,1,1,19,7,1.6305233228,0
03SS,CapBac&CasDec,120,4,1,0,Hetero.diff,215,10,1.4233997925,9,22,1.5123771803,12,0.0833333333,,462,,,64.5876,15,3,2,4,1,0,0.270719892
03SS,CapBac&CasSyl,120,9,5,1.4648163849,Hetero.diff,164,7,1.0713749298,3,10,0.6390318597,12,0.4166666667,,357.14285714,186.66666667,,53.400571429,35,3,2,9,5,1.4648163849,0.267733558
03SS,CapBac&CelIgu,120,13,9,2.1383972463,Hetero.diff,105,7,1.3170057889,5,31,1.1867052535,12,0.75,,535.66666667,,,74.8862,20,3,2,13,9,2.1383972463,0.265064061
03SS,CapBac&TreMic,120,25,13,2.4770728313,Hetero.diff,27,4,1.0085407973,7,18,1.5810937502,12,1.0833333333,,257.27272727,,457.85714286,45.73434632,10,3,2,22,12,2.3978952728,0.2643121
03SS,CasDec,60,2,2,0.6931471806,Intra,67,4,0.2882182593,2,2,0.6931471806,24,0.0833333333,,,,,0,65,1,1,1,1,0,0
03SS,CasDec&CasSyl,30,4,4,1.3862943611,Hetero.same,9,1,0,4,5,1.3321790402,12,0.3333333333,,,213.33333333,,3.968,40,2,2,2,2,0.6931471806,0.141899453
03SS,CasDec&CelIgu,120,0,0,0,Hetero.diff,0,0,0,1,1,0,12,0,,,,,0,60,3,2,0,0,0,0.244484426
03SS,CasDec&TreMic,120,28,13,2.4254395063,Hetero.diff,22,7,1.6540336488,6,10,1.6094379124,12,1.0833333333,,,,458.23529412,9.7756862745,10,3,2,23,11,2.235177308,0.243732464
03SS,CasSyl,60,6,4,1.3296613489,Intra,69,2,0.3872123752,0,0,0,24,0.1666666667,,,300,,5.58,70,1,1,5,3,1.054920168,0
03SS,CasSyl&CelIgu,120,2,2,0.6931471806,Hetero.diff,56,2,0.6873963522,0,0,0,12,0.1666666667,,,100,,1.86,10,3,2,2,2,0.6931471806,0.241498092
03SS,CasSyl&TreMic,120,24,11,2.3116198546,Hetero.diff,161,14,1.7491310201,5,12,1.357977855,12,0.9166666667,,,80,714.66666667,16.734222222,5,3,2,22,10,2.2088551326,0.24074613
03SS,CelIgu,60,2,2,0.6931471806,Intra,160,1,0,0,0,0,24,0.0833333333,,,,,0,50,1,1,1,1,0,0
03SS,CelIgu&TreMic,30,65,14,2.3931822362,Hetero.same,137,8,1.115382668,7,18,1.7249347864,12,1.1666666667,,,,456,9.728,20,2,2,62,13,2.3129006702,0.166769626
03SS,TreMic,60,31,16,2.587133452,Intra,337,9,0.5128584025,2,2,0.6931471806,24,0.6666666667,,,,583.88888889,12.456296296,20,1,1,24,13,2.3588541389,0
04AJ,AcnArb,60,32,12,2.3336389197,Intra,65,9,1.4610854628,2,3,0.6365141683,24,0.5,326.42857143,,,,99.832738095,90,1,1,24,9,2.0151647765,0
04AJ,AcnArb&CapBac,30,35,11,2.1376876235,Hetero.same,51,7,1.6008154958,4,9,1.0027182645,12,0.9166666667,351.42857143,253.33333333,,,142.89457143,100,2,2,21,7,1.8442381501,0.143088167
04AJ,AcnArb&CasDec,120,17,10,2.1500602245,Hetero.diff,71,6,0.6429094522,1,1,0,12,0.8333333333,297.5,,,,90.985416667,90,3,2,11,7,1.8462202193,0.260444172
04AJ,AcnArb&CasSyl,120,17,5,1.313010592,Hetero.diff,67,6,1.2009489552,1,1,0,12,0.4166666667,220,,,,67.283333333,70,3,2,8,4,1.3208883431,0.257457838
04AJ,AcnArb&CelIgu,120,9,8,2.0431918705,Hetero.diff,104,5,1.1747028793,0,0,0,12,0.6666666667,218.57142857,,,,66.846428571,100,3,2,7,6,1.7478680975,0.254788341
04AJ,AcnArb&TreMic,120,27,9,2.0474225595,Hetero.diff,47,2,0.1759751251,0,0,0,12,0.75,265.2,,,212.5,85.640333333,80,3,2,19,6,1.6081537102,0.25403638
04AJ,All,10,33,11,2.0165307931,Hetero.All,70,11,1.5395546805,2,3,0.6365141683,4,2.75,174.28571429,211.11111111,,265.45454545,88.478744589,70,6,6,29,8,1.7309875888,0.431177611
04AJ,CapBac,60,1,1,0,Intra,366,6,1.3404041485,2,2,0.6931471806,24,0.0416666667,,912,,,127.4976,65,1,1,1,1,0,0
04AJ,CapBac&CasDec,120,8,6,1.7328679514,Hetero.diff,363,6,1.0402066287,5,5,1.6094379124,12,0.5,,459.0625,,,64.1769375,80,3,2,6,4,1.3296613489,0.270719892
04AJ,CapBac&CasSyl,120,14,7,1.6731183626,Hetero.diff,9,2,0.6869615766,6,9,1.6769877743,12,0.5833333333,,277,200,,42.4446,85,3,2,6,5,1.560710409,0.267733558
04AJ,CapBac&CelIgu,120,7,4,1.2770342595,Hetero.diff,165,3,0.7773098261,2,8,0.6615632382,12,0.3333333333,,501.66666667,,,70.133,90,3,2,4,2,0.5623351446,0.265064061
04AJ,CapBac&TreMic,120,46,13,2.2623045128,Hetero.diff,165,5,1.1334498612,3,3,1.0986122887,12,1.0833333333,,385.55555556,,697.5,68.780666667,80,3,2,35,10,2.0116432057,0.2643121
04AJ,CasDec,60,6,3,1.0114042647,Intra,341,5,0.9262125561,1,1,0,24,0.125,,,,,0,90,1,1,2,1,0,0
04AJ,CasDec&CasSyl,30,13,5,1.4127446369,Hetero.same,58,3,0.6503384443,0,0,0,12,0.4166666667,,,,,0,90,2,2,10,3,0.9433483923,0.141899453
04AJ,CasDec&CelIgu,120,6,3,1.0114042647,Hetero.diff,0,0,0,0,0,0,12,0.25,,,,,0,100,3,2,3,1,0,0.244484426
04AJ,CasDec&TreMic,120,27,10,2.118146356,Hetero.diff,29,7,1.5419195275,2,2,0.6931471806,12,0.8333333333,,,,841.66666667,17.955555556,95,3,2,20,6,1.6137942392,0.243732464
04AJ,CasSyl,60,14,5,1.4701319204,Intra,142,5,0.8843881358,3,4,1.0397207708,24,0.2083333333,,,116.66666667,,2.17,100,1,1,10,3,0.9433483923,0
04AJ,CasSyl&CelIgu,120,15,6,1.2972958306,Hetero.diff,55,2,0.6554817739,0,0,0,12,0.5,,,,,0,100,3,2,5,4,1.3321790402,0.241498092
04AJ,CasSyl&TreMic,120,27,7,1.735126457,Hetero.diff,10,6,1.4978661368,2,2,0.6931471806,12,0.5833333333,,,,1417.1428571,30.232380952,100,3,2,17,4,1.1499171378,0.24074613
04AJ,CelIgu,60,4,4,1.3862943611,Intra,101,3,0.5509940194,1,1,0,24,0.1666666667,,,,,0,90,1,1,3,3,1.0986122887,0
04AJ,CelIgu&TreMic,30,16,8,1.9600951351,Hetero.same,28,5,0.9049961161,1,1,0,12,0.6666666667,,,,273,5.824,90,2,2,11,5,1.5157079521,0.166769626
04AJ,TreMic,60,33,11,2.0837239522,Intra,92,4,0.7826915662,2,2,0.6931471806,24,0.4583333333,,,,497.5,10.613333333,100,1,1,26,7,1.6782241664,0
05PF1,AcnArb,60,6,4,1.3296613489,Intra,24,2,0.2868359831,1,1,0,24,0.1666666667,942.4,,,,288.21733333,40,1,1,6,4,1.3296613489,0
05PF1,AcnArb&CapBac,30,8,3,0.9743147529,Hetero.same,7,2,0.4101163183,0,0,0,12,0.25,179,170.42857143,,,78.570080952,60,2,2,4,1,0,0.143088167
05PF1,AcnArb&CasDec,120,17,7,1.5792331346,Hetero.diff,239,10,1.4078595947,3,8,0.7356219398,12,0.5833333333,265,,,,81.045833333,30,3,2,15,5,1.2868726304,0.260444172
05PF1,AcnArb&CasSyl,120,4,4,1.3862943611,Hetero.diff,140,5,0.3448471905,1,1,0,12,0.3333333333,133.4,,80,,42.286166667,60,3,2,3,3,1.0986122887,0.257457838
05PF1,AcnArb&CelIgu,120,2,1,0,Hetero.diff,174,8,1.6292191239,1,1,0,12,0.0833333333,243,,,,74.3175,40,3,2,2,1,0,0.254788341
05PF1,AcnArb&TreMic,120,8,4,1.213007566,Hetero.diff,200,12,1.5707021957,3,4,1.0397207708,12,0.3333333333,1050,,,300,327.525,15,3,2,7,3,0.9556998911,0.25403638
05PF1,All,10,7,4,1.2770342595,Hetero.All,74,7,1.5404115351,9,19,1.9133036568,4,1,350,164.54545455,20,356.92307692,138.03148019,20,6,6,5,2,0.673011667,0.431177611
