Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification,Intra_dens,phylo_dist
1JM1,27-May,sunny,70,10:23,CapBacTreMic,2,Inside,TreMic,0.5,4,4,1,0,2,7,11,No,0.245454545,0.077777778,0.245454545,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,0,0,0,0,18,18,18,No,1,0,0,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,8,0,0,0,8,8,16,No,0.5,0,0,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,6,0,0,0,12,12,18,No,0.666666667,0,0,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:23,CapBacTreMic,4,Inside,TreMic,1.2,33,10,6,18,21,55,88,No,0.423863636,0.243283582,0.423863636,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:23,CapBacTreMic,4,Inside,TreMic,1.2,4,3,0,3,2,8,12,No,0.379166667,0.255,0.379166667,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:23,CapBacTreMic,4,Inside,TreMic,1.2,3,2,2,3,1,8,11,No,0.368181818,0.305,0.368181818,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,1,Outside,CasDec,0.6,3,0,0,0,5,5,8,Yes,0.625,0,0,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,1,Outside,CasDec,0.6,4,0,0,0,5,5,9,Yes,0.555555556,0,0,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,1,Outside,CasDec,0.6,5,1,0,0,3,4,9,Yes,0.344444444,0.016666667,0.016666667,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,2,Inside,CasDec,0.7,12,0,0,0,5,5,17,Yes,0.294117647,0,0,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,2,Inside,CasDec,0.7,6,0,0,0,7,7,13,Yes,0.538461538,0,0,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,2,Inside,CasDec,0.7,5,1,0,0,6,7,12,Yes,0.508333333,0.016666667,0.016666667,Hetero.diff,12,247.5
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,3,Outside,AcnArb,0.9,0,46,4,0,22,72,72,No,0.386111111,0.116,0.386111111,Hetero.diff,12,247.5
