Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,bird_degree,visits.x.degree,bird_degree 2,visits.x.degree 2,PD
02JM2,AcnArb&CelIgu,6,11,6,1.6726254461503,Hetero.diff,42,8,1.9398941600264,2,2,0.6931471805599,12,0.5,182.22222222,,,,55.72962963,45,3,2,4,2,0.5623351446,5.5,8.5,33,51,0.254788341
02JM2,AcnArb&TreMic,10,29,9,1.9449153899863,Hetero.diff,98,8,1.655983528224,6,15,1.6745895669999,12,0.75,143.33333333,,,498,54.460111111,2,3,2,27,8,1.868219625,22.7,37.1,227,371,0.25403638
02JM2,All,7,17,7,1.8238733159854,Hetero.All,126,16,2.0364626819064,13,38,2.1203732255938,4,1.75,198.75,283.63636364,115,305,109.0824053,5,6,6,5,3,1.054920168,13.3,14.571428571,93,102,0.431177611
02JM2,CapBac,10,24,9,2.084201066727,Intra,118,8,1.7866407092533,3,13,0.9110175397126,24,0.375,,595,,,83.181,2,1,1,20,7,1.8479008005,16.2,25.2,162,252,0
02JM2,CapBac&CasDec,4,7,4,1.1537419427011,Hetero.diff,143,9,1.4901487726678,5,11,1.3667110520552,12,0.3333333333,,373.07692308,,,52.156153846,10,3,2,6,3,0.8675632285,9.0,9,36,36,0.270719892
02JM2,CapBac&CasSyl,7,12,7,1.7917594692281,Hetero.diff,119,7,1.1832404432651,4,4,1.3862943611199,12,0.5833333333,,471.41666667,320,,71.85605,15,3,2,8,5,1.3862943611,18.1,18.142857143,127,127,0.267733558
02JM2,CapBac&CelIgu,7,18,7,1.750158490549,Hetero.diff,890,18,1.9491758889559,5,12,1.3522093992338,12,0.5833333333,,420,,,58.716,15,3,2,9,4,1.149059697,8.3,8.5714285714,58,60,0.265064061
02JM2,CapBac&TreMic,15,23,15,2.4227133565541,Hetero.diff,419,25,2.2908326068757,15,38,2.3574379962598,12,1.25,,285.73333333,,444.16666667,49.421075556,5,3,2,19,11,2.0815989915,13.8,13.933333333,207,209,0.2643121
02JM2,CasDec,4,4,4,1.3862943611199,Intra,50,7,1.110417033916,5,5,1.6094379124341,24,0.1666666667,,,,,0,15,1,1,2,2,0.6931471806,8.5,8.5,34,34,0
02JM2,CasDec&CasSyl,4,8,4,1.2130075659799,Hetero.same,219,3,0.3449737138969,0,0,0,12,0.3333333333,,,500,,9.3,40,2,2,2,2,0.6931471806,5.8,5.75,23,23,0.141899453
02JM2,CasDec&CelIgu,2,3,2,0.6365141682948,Hetero.diff,0,0,0,1,1,0,12,0.1666666667,,,,,0,30,3,2,3,2,0.6365141683,7.0,7,14,14,0.244484426
