Transect_ID,Coereba,Tiaris,Columbina,Streptopelia,Quicalus,Tyrannus,Eulampis,Mimus,Margarops,Spindalis,Melanerpes,Turdus,Patagioenas,Patagioenas,Zenaida,Zenaida,Brotogeris
12-BAY-A,7.365975161,4.524700567,0,0,31.52831124,4.798176693,0,3.253562488,0,0,0,0,0,0,29.71855636,16.07437937,0
12-BAY-B,7.365975161,9.049401133,0,0,39.41038905,19.19270677,0,3.253562488,0,0,0,3.084736477,0,0,11.88742254,21.43250582,0
12-BAY-C,0,18.09880227,11.1324607,0,78.8207781,4.798176693,0,3.253562488,0,3.084736477,0,0,0,0,11.88742254,16.07437937,0
14-BAY-A,3.682987581,0,0,0,126.113245,14.39453008,0,0,0,3.084736477,0,0,0,0,11.88742254,26.79063228,0
14-BAY-B,7.365975161,4.524700567,0,0,0,4.798176693,0,3.253562488,0,3.084736477,0,0,0,2.000002,11.88742254,21.43250582,0
14-BAY-C,11.04896274,0,2.783115174,0,7.88207781,4.798176693,0,0,0,0,0,3.084736477,0,0,14.85927818,21.43250582,2.000044201
16-LEV-A,22.09792548,9.049401133,0,0,15.76415562,0,0,0,0,6.169472954,0,0,0,0,5.943711271,26.79063228,0
16-LEV-B,14.73195032,9.049401133,5.566230348,0,47.29246686,0,0,3.253562488,0,0,0,0,0,0,11.88742254,16.07437937,0
16-LEV-C,22.09792548,4.524700567,2.783115174,0,15.76415562,4.798176693,0,0,0,0,0,0,0,0,0,5.358126456,0
18-LEV-A,3.682987581,4.524700567,8.349345523,0,39.41038905,9.596353386,0,9.760687465,2.484994362,12.33894591,0,0,0,0,17.83113381,26.79063228,0
18-LEV-B,7.365975161,18.09880227,11.1324607,0,0,9.596353386,0,6.507124976,0,0,0,6.169472954,0,0,35.66226763,26.79063228,0
18-LEV-C,14.73195032,9.049401133,2.783115174,0,7.88207781,0,0,0,0,0,0,0,0,0,17.83113381,26.79063228,0
