TREE_ID,Fruit_diameter_mm,leaf_length_cm,number_mummy_fruits,student_observers
S1 ,11.7,NA,NA,Alicia & Claire 
S1 ,10.72,NA,NA,Alicia & Claire 
S1 ,12.85,NA,NA,Alicia & Claire 
S1 ,13.5,NA,NA,Alicia & Claire 
S1 ,11.76,NA,NA,Alicia & Claire 
S1 ,12.58,NA,NA,Alicia & Claire 
S1 ,12.13,NA,NA,Alicia & Claire 
S2,10.23,9.7,7,ADRIANA
S2,10.08,6.7,NA,ADRIANA
S2,10.1,5.2,NA,ADRIANA
S2,10.9,5.7,NA,ADRIANA
S2,12.2,3.8,NA,ADRIANA
S2,10.7,6,NA,ADRIANA
S2,12.1,5.8,NA,ADRIANA
S2,9.8,10.1,NA,ADRIANA
S2,12,8.4,NA,ADRIANA
S2,11.4,9.3,NA,ADRIANA
S2,11.5,7.7,NA,ADRIANA
S2,11.9,9.8,NA,ADRIANA
S2,11.9,10.1,NA,ADRIANA
S2,13.2,10.2,NA,ADRIANA
S2,11.3,7.7,NA,ADRIANA
S2,12.8,9.7,NA,ADRIANA
S2,10.5,3.2,NA,ADRIANA
S2,12.5,10,NA,ADRIANA
S2,12.9,10.2,NA,ADRIANA
S2,13.6,9.8,NA,ADRIANA
S2,13.3,6.5,NA,ADRIANA
S2,12.1,6.6,NA,ADRIANA
S2,12,7.5,NA,ADRIANA
S2,13.4,3.9,NA,ADRIANA
S2,11.6,6.5,NA,ADRIANA
S2,12.9,9.3,NA,ADRIANA
S2,10.3,7.1,NA,ADRIANA
S2,12.3,3.4,NA,ADRIANA
S2,11.9,5.9,NA,ADRIANA
S2,13,8.5,NA,ADRIANA
S2,13.8,2.4,NA,ADRIANA
S2,13,NA,NA,ADRIANA
S2,13.4,NA,NA,ADRIANA
S2,12.1,NA,NA,ADRIANA
S2,13.6,NA,NA,ADRIANA
S2,13.3,NA,NA,ADRIANA
S2,11.6,NA,NA,ADRIANA
S2,11.9,NA,NA,ADRIANA
S2,11.8,NA,NA,ADRIANA
S2,12.6,NA,NA,ADRIANA
S2,12.8,NA,NA,ADRIANA
S2,12.2,NA,NA,ADRIANA
S2,12.9,NA,NA,ADRIANA
S2,13.6,NA,NA,ADRIANA
S2,12.8,NA,NA,ADRIANA
S2,12.9,NA,NA,ADRIANA
S2,12,NA,NA,ADRIANA
S2,12.9,NA,NA,ADRIANA
S2,13.6,NA,NA,ADRIANA
S2,13.2,NA,NA,ADRIANA
S2,12.3,NA,NA,ADRIANA
S2,12.1,NA,NA,ADRIANA
S2,12.9,NA,NA,ADRIANA
S2,10.7,NA,NA,ADRIANA
S2,10.2,NA,NA,ADRIANA
S2,11.1,NA,NA,ADRIANA
S2,12.6,NA,NA,ADRIANA
S2,12.1,NA,NA,ADRIANA
S2,9,NA,NA,ADRIANA
S2,11.1,NA,NA,ADRIANA
S2,12,NA,NA,ADRIANA
S2,11.9,NA,NA,ADRIANA
S2,11.2,NA,NA,ADRIANA
S2,11,NA,NA,ADRIANA
S2,11.1,NA,NA,ADRIANA
S2,10.4,NA,NA,ADRIANA
S2,11.5,NA,NA,ADRIANA
S2,10.9,NA,NA,ADRIANA
S2,10.6,NA,NA,ADRIANA
S2,10.9,NA,NA,ADRIANA
S2,10.1,NA,NA,ADRIANA
S2,8.2,NA,NA,ADRIANA
S2,10.3,NA,NA,ADRIANA
S2,10.1,NA,NA,ADRIANA
S2,12.5,NA,NA,ADRIANA
S2,10.1,NA,NA,ADRIANA
S2,11.1,NA,NA,ADRIANA
S2,11.1,NA,NA,ADRIANA
S2,11.4,NA,NA,ADRIANA
S2,10.9,NA,NA,ADRIANA
S2,6.8,NA,NA,ADRIANA
S2,10.4,NA,NA,ADRIANA
S2,9.9,NA,NA,ADRIANA
S2,12.4,NA,NA,ADRIANA
S2,10.7,NA,NA,ADRIANA
S2,10,NA,NA,ADRIANA
S2,12.8,NA,NA,ADRIANA
S2,8.8,NA,NA,ADRIANA
S2,9.1,NA,NA,ADRIANA
S2,10.1,NA,NA,ADRIANA
S2,10.8,NA,NA,ADRIANA
S2,10.5,NA,NA,ADRIANA
S2,12.6,NA,NA,ADRIANA
S2,11.3,NA,NA,ADRIANA
S2,11.2,NA,NA,ADRIANA
S2,10.4,NA,NA,ADRIANA
S2,10.9,NA,NA,ADRIANA
S2,10.6,NA,NA,ADRIANA
S3,7.79,6.1,18,Erika & Kaelonnah
S3,8.44,4.5,NA,Erika & Kaelonnah
S3,10.2,2.2,NA,Erika & Kaelonnah
S3,10.94,4.2,NA,Erika & Kaelonnah
S3,10.38,3.4,NA,Erika & Kaelonnah
S3,10.45,3.2,NA,Erika & Kaelonnah
S3,11.25,2.7,NA,Erika & Kaelonnah
S3,10.16,1.5,NA,Erika & Kaelonnah
S3,9.43,3,NA,Erika & Kaelonnah
S3,9.61,2,NA,Erika & Kaelonnah
S3,10.08,2.5,NA,Erika & Kaelonnah
S3,11.07,2.9,NA,Erika & Kaelonnah
S3,8.68,2.3,NA,Erika & Kaelonnah
S3,8.92,3,NA,Erika & Kaelonnah
S3,9.35,2.8,NA,Erika & Kaelonnah
S3,11.34,2.8,NA,Erika & Kaelonnah
S3,11.04,2.2,NA,Erika & Kaelonnah
S3,9.83,1.8,NA,Erika & Kaelonnah
S3,10.15,3,NA,Erika & Kaelonnah
S3,9.32,2.5,NA,Erika & Kaelonnah
S3,11.09,2.1,NA,Erika & Kaelonnah
S3,10.57,2.2,NA,Erika & Kaelonnah
S3,9.46,2.6,NA,Erika & Kaelonnah
S3,8.68,2.6,NA,Erika & Kaelonnah
S3,10.11,2.6,NA,Erika & Kaelonnah
S3,9.99,2.5,NA,Erika & Kaelonnah
S3,10.13,2.8,NA,Erika & Kaelonnah
S3,8.56,2.5,NA,Erika & Kaelonnah
S3,8.9,2.1,NA,Erika & Kaelonnah
S3,9.14,2.2,NA,Erika & Kaelonnah
S3,9.07,2.2,NA,Erika & Kaelonnah
S3,9.02,1.8,NA,Erika & Kaelonnah
S3,10.94,NA,NA,Erika & Kaelonnah
S3,9.49,NA,NA,Erika & Kaelonnah
S3,10.8,NA,NA,Erika & Kaelonnah
S3,10.21,NA,NA,Erika & Kaelonnah
S3,11.35,NA,NA,Erika & Kaelonnah
S3,9.47,NA,NA,Erika & Kaelonnah
S3,11.14,NA,NA,Erika & Kaelonnah
S3,10.03,NA,NA,Erika & Kaelonnah
S3,9.48,NA,NA,Erika & Kaelonnah
S3,9.96,NA,NA,Erika & Kaelonnah
S3,10.56,NA,NA,Erika & Kaelonnah
S3,10.61,NA,NA,Erika & Kaelonnah
S3,9.32,NA,NA,Erika & Kaelonnah
S3,10.4,NA,NA,"Adriana, Cortez"
S3,10.6,NA,NA,"Adriana, Cortez"
S3,9.5,NA,NA,"Adriana, Cortez"
S3,11.3,NA,NA,"Adriana, Cortez"
S3,8.9,NA,NA,"Adriana, Cortez"
S3,9.6,NA,NA,"Adriana, Cortez"
S3,9.5,NA,NA,"Adriana, Cortez"
S3,8.5,NA,NA,"Adriana, Cortez"
S3,9.3,NA,NA,"Adriana, Cortez"
S3,10.9,NA,NA,"Adriana, Cortez"
S3,9.7,NA,NA,"Adriana, Cortez"
S3,8.2,NA,NA,"Adriana, Cortez"
S3,9.1,NA,NA,"Adriana, Cortez"
S3,10.3,NA,NA,"Adriana, Cortez"
S3,9.1,NA,NA,"Adriana, Cortez"
S3,10.4,NA,NA,"Adriana, Cortez"
S3,10.5,NA,NA,"Adriana, Cortez"
S3,9.8,NA,NA,"Adriana, Cortez"
S3,9.8,NA,NA,"Adriana, Cortez"
S3,10.5,NA,NA,"Adriana, Cortez"
S3,10,NA,NA,"Adriana, Cortez"
S3,9.3,NA,NA,"Adriana, Cortez"
S3,10.2,NA,NA,"Adriana, Cortez"
S3,9.5,NA,NA,"Adriana, Cortez"
S3,10.5,NA,NA,"Adriana, Cortez"
S3,10.3,NA,NA,"Adriana, Cortez"
S3,10,NA,NA,"Adriana, Cortez"
S3,8.4,NA,NA,"Adriana, Cortez"
S3,8.5,NA,NA,"Adriana, Cortez"
S3,11.2,NA,NA,"Adriana, Cortez"
S3,10.9,NA,NA,"Adriana, Cortez"
S3,10.1,NA,NA,"Adriana, Cortez"
S3,8.5,NA,NA,"Adriana, Cortez"
S3,10,NA,NA,"Adriana, Cortez"
S3,9.7,NA,NA,"Adriana, Cortez"
S3,10.2,NA,NA,"Adriana, Cortez"
S3,11.2,NA,NA,"Adriana, Cortez"
S3,10.8,NA,NA,"Adriana, Cortez"
S3,11.4,NA,NA,"Adriana, Cortez"
S3,10,NA,NA,"Adriana, Cortez"
S3,11.1,NA,NA,"Adriana, Cortez"
S3,10.1,NA,NA,"Adriana, Cortez"
S3,10.4,NA,NA,"Adriana, Cortez"
S3,9.2,NA,NA,"Adriana, Cortez"
S3,11.4,NA,NA,"Adriana, Cortez"
S3,10.7,NA,NA,"Adriana, Cortez"
S3,11.2,NA,NA,"Adriana, Cortez"
S3,11.1,NA,NA,"Adriana, Cortez"
S3,10.3,NA,NA,"Adriana, Cortez"
S3,9.6,NA,NA,"Adriana, Cortez"
S3,11.9,NA,NA,"Adriana, Cortez"
S3,9.5,NA,NA,"Adriana, Cortez"
S3,8.7,NA,NA,"Adriana, Cortez"
S3,9.5,NA,NA,"Adriana, Cortez"
S3,9.6,NA,NA,"Adriana, Cortez"
S3,9.8,NA,NA,"Adriana, Cortez"
S5,9.88,6.5,5,"Brandon, Nick"
S5,11,6.8,NA,"Brandon, Nick"
S5,10.73,6.9,NA,"Brandon, Nick"
S5,10.17,7.7,NA,"Brandon, Nick"
S5,10.24,7,NA,"Brandon, Nick"
S5,10.79,7,NA,"Brandon, Nick"
S5,11.24,7.2,NA,"Brandon, Nick"
S5,11.47,6.6,NA,"Brandon, Nick"
S5,11.4,6.6,NA,"Brandon, Nick"
S5,10.04,7.3,NA,"Brandon, Nick"
S5,11.27,6.1,NA,"Brandon, Nick"
S5,10.6,7.1,NA,"Brandon, Nick"
S5,10.64,5.6,NA,"Brandon, Nick"
S5,11.36,4.8,NA,"Brandon, Nick"
S5,10.57,6.9,NA,"Brandon, Nick"
S5,11.77,4.9,NA,"Brandon, Nick"
S5,11.55,7.4,NA,"Brandon, Nick"
S5,10.89,6.5,NA,"Brandon, Nick"
S5,8.88,,NA,"Brandon, Nick"
S5,11.07,,NA,"Brandon, Nick"
S5,12.2,,NA,"Brandon, Nick"
S5,10.67,,NA,"Brandon, Nick"
S5,12.62,,NA,"Brandon, Nick"
S5,10.76,,NA,"Brandon, Nick"
S5,11.65,,NA,"Brandon, Nick"
S5,12.22,,NA,"Brandon, Nick"
S5,10.77,,NA,"Brandon, Nick"
S5,10.92,,NA,"Brandon, Nick"
S5,10.13,,NA,"Brandon, Nick"
S5,10.5,,NA,"Brandon, Nick"
S5,7.08,,NA,"Brandon, Nick"
S5,11.31,,NA,"Brandon, Nick"
S5,10.22,,NA,"Brandon, Nick"
S5,6.17,,NA,"Brandon, Nick"
S5,10.08,,NA,"Brandon, Nick"
S5,11.57,,NA,"Brandon, Nick"
S5,10.67,,NA,"Brandon, Nick"
S5,10.25,,NA,"Brandon, Nick"
S5,6.19,,NA,"Brandon, Nick"
S5,9.7,,NA,"Brandon, Nick"
S5,9.06,,NA,"Brandon, Nick"
S5,10.02,,NA,"Brandon, Nick"
S5,10.42,,NA,"Brandon, Nick"
S5,9.24,,NA,"Brandon, Nick"
S5,10.81,,NA,"Brandon, Nick"
S5,9.82,,NA,"Brandon, Nick"
S5,9.62,,NA,"Brandon, Nick"
S5,11.03,,NA,"Brandon, Nick"
S5,10.1,,NA,"Brandon, Nick"
S5,10.22,,NA,"Brandon, Nick"
S5,11,,NA,"Brandon, Nick"
S5,9.33,,NA,"Brandon, Nick"
S5,7.4,,NA,"Brandon, Nick"
S5,9.94,,NA,"Brandon, Nick"
S5,10.55,,NA,"Brandon, Nick"
S5,12.13,,NA,"Brandon, Nick"
S5,12.22,,NA,"Brandon, Nick"
S5,10.92,,NA,"Brandon, Nick"
S5,11.21,,NA,"Brandon, Nick"
S5,10.75,,NA,"Brandon, Nick"
S5,11.52,,NA,"Brandon, Nick"
S5,11.24,,NA,"Brandon, Nick"
S5,10.78,,NA,"Brandon, Nick"
S5,10.06,,NA,"Brandon, Nick"
S5,11.16,,NA,"Brandon, Nick"
S5,11.69,,NA,"Brandon, Nick"
S5,10.28,,NA,"Brandon, Nick"
S5,11.96,,NA,"Brandon, Nick"
S5,11.66,,NA,"Brandon, Nick"
S5,11.11,,NA,"Brandon, Nick"
S5,10.87,,NA,"Brandon, Nick"
S5,11.01,,NA,"Brandon, Nick"
S5,11.69,,NA,"Brandon, Nick"
S5,11.43,,NA,"Brandon, Nick"
S5,6.86,,NA,"Brandon, Nick"
S5,11.42,,NA,"Brandon, Nick"
S5,10.52,,NA,"Brandon, Nick"
S5,11.97,,NA,"Brandon, Nick"
S5,12.27,,NA,"Brandon, Nick"
S5,11.09,,NA,"Brandon, Nick"
S5,11.42,,NA,"Brandon, Nick"
S5,11.84,,NA,"Brandon, Nick"
S5,11.85,,NA,"Brandon, Nick"
S5,10.86,,NA,"Brandon, Nick"
S5,9.85,,NA,"Brandon, Nick"
S5,10.75,,NA,"Brandon, Nick"
S5,10.85,,NA,"Brandon, Nick"
S5,10.04,,NA,"Brandon, Nick"
S5,10.18,,NA,"Brandon, Nick"
S5,10.34,,NA,"Brandon, Nick"
S5,10.12,,NA,"Brandon, Nick"
S5,11.98,,NA,"Brandon, Nick"
S5,10.43,,NA,"Brandon, Nick"
S5,11.14,,NA,"Brandon, Nick"
S5,9.49,,NA,"Brandon, Nick"
S5,10.51,,NA,"Brandon, Nick"
S5,11.85,,NA,"Brandon, Nick"
S5,10.43,,NA,"Brandon, Nick"
S5,10.81,,NA,"Brandon, Nick"
