plot,black.birch,chesnut.oak,hemlock,red.maple,re.oak,black.oak,blackgum,unk.,cherry,str.maple,white.pine,witch.hazel
1,5,5,1,3,1,0,12,0,4,0,19,0
2,15,5,0,13,1,0,9,0,0,0,6,0
3,17,4,0,6,0,0,0,0,0,0,2,0
4,0,8,1,15,0,2,1,1,0,0,0,0
5,1,4,0,16,1,0,0,4,7,0,0,0
6,0,6,0,1,6,0,0,4,0,0,0,0
7,9,2,38,12,0,0,0,0,0,0,0,0
8,5,0,22,2,0,0,0,0,0,0,0,0
9,10,0,9,4,1,0,0,0,0,0,0,0
10,4,17,0,5,0,0,1,1,0,0,0,0
11,0,13,1,3,0,0,1,0,0,0,0,0
12,0,14,0,11,0,0,8,0,0,4,1,4
