Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita
01JM1,CelIgu,Intra,16,Celtis_iguanaea,4,20,441,45.625,283.3333333,11.80555556,0,0,23.625,378,15.75,1,6.091309882,3.842136878,4.472135955,2.549879105
01JM1,CelIgu&TreMic,Hetero.same,14,Celtis_iguanaea,4,2,181,39.9625,0,0,0,0,0,0,0,2,5.204006687,3.712657014,1.414213562,0
01JM1,CelIgu&TreMic,Hetero.same,14,Trema_micrantha,4,2,481.6666667,84.67,992.3529412,82.69607843,16,1.333333333,16.94117647,288,24,2,6.179326284,4.450502706,1.414213562,4.427192124
01JM1,TreMic,Intra,23,Trema_micrantha,4,1,484.3333333,52.92,855,35.625,13,0.541666667,25.65,513,21.375,1,6.18483594,3.987501467,1,3.600731067
02JM2,AcnArb,Intra,6,Acnistus_arborescens,4,30,229.3333333,84.66,325,13.54166667,7,0.291666667,15.4,231,9.625,1,5.439527535,4.450385972,5.477225575,2.677018092
02JM2,AcnArb&CapBac,Hetero.same,18,Acnistus_arborescens,4,15,348.6666667,132.26,262.1428571,21.8452381,6,0.5,13.61538462,177,14.75,2,5.85698032,4.892302107,3.872983346,3.128742697
02JM2,AcnArb&CapBac,Hetero.same,18,Capsicum_baccatum,4,15,117.3333333,35.14,214,17.83333333,3,0.25,30,240,20,2,4.773505501,3.587400285,3.872983346,2.935628349
02JM2,AcnArb&CasDec,Hetero.diff,17,Acnistus_arborescens,4,30,285,100.2625,226.875,18.90625,5,0.416666667,32.53846154,423,35.25,2,5.655991811,4.617716155,5.477225575,2.991033753
02JM2,AcnArb&CasSyl,Hetero.diff,19,Acnistus_arborescens,4,15,280.6666667,88.605,199.1111111,16.59259259,8,0.666666667,22.375,358,29.83333333,2,5.640724339,4.495411122,3.872983346,2.867477938
02JM2,AcnArb&CasSyl,Hetero.diff,19,Casearia_sylvestris,4,15,134.6666667,31.9325,100,8.333333333,0,0,44,44,3.666666667,2,4.910200897,3.494460012,3.872983346,2.233592222
