Treatment,trial,height_m,tree_sp,dist_cm,wind,ratio.L/M,observer
blower,1,2.5,Elm,172,2,4178,Chloe
blower,2,2.5,Elm,217,2,4178,Chloe
blower,3,2.5,Elm,306,2,4178,Chloe
blower,4,2.5,Elm,100,3.2,4178,Chloe
blower,5,2.5,Elm,160,2.5,4178,Chloe
blower,6,2.5,Elm,175,0.3,4178,Chloe
blower,7,2.5,Elm,110,0.7,4178,Chloe
blower,8,2.5,Elm,125,2.5,4178,Chloe
blower,9,2.5,Elm,224,2.1,4178,Chloe
blower,10,2.5,Elm,35,1.8,4178,Chloe
blower,11,2.5,Elm,196,2.8,4178,Chloe
blower,12,2.5,Elm,295,2.5,4178,Chloe
blower,1,1,Elm,12,3.9,4178,Haley
blower,2,1,Elm,305,1,4178,Haley
blower,3,1,Elm,35,1.4,4178,Haley
blower,4,1,Elm,92,0,4178,Haley
blower,5,1,Elm,64,1.8,4178,Haley
blower,6,1,Elm,99,2.8,4178,Haley
blower,7,1,Elm,93,1,4178,Haley
blower,8,1,Elm,220,1.4,4178,Haley
blower,9,1,Elm,71,3.6,4178,Haley
blower,10,1,Elm,93,2.5,4178,Haley
blower,11,1,Elm,163,3.6,4178,Haley
blower,12,1,Elm,168,2.1,4178,Haley
no_blower,1,2.5,Elm,235,6.1,4178,Julia
no_blower,2,2.5,Elm,104,2.5,4178,Julia
no_blower,3,2.5,Elm,365,5.7,4178,Julia
no_blower,4,2.5,Elm,135,3.6,4178,Julia
no_blower,5,2.5,Elm,94,1.8,4178,Julia
no_blower,6,2.5,Elm,90,1.4,4178,Julia
no_blower,7,2.5,Elm,81,0,4178,Julia
no_blower,8,2.5,Elm,62,0,4178,Julia
no_blower,9,2.5,Elm,79,0,4178,Julia
no_blower,10,2.5,Elm,95,2.1,4178,Julia
no_blower,11,2.5,Elm,50,0.7,4178,Julia
no_blower,12,2.5,Elm,72,0,4178,Julia
no_blower,1,1,Elm,26,0,4178,Ellie
no_blower,2,1,Elm,46,0,4178,Ellie
no_blower,3,1,Elm,22,0,4178,Ellie
no_blower,4,1,Elm,18,0,4178,Ellie
no_blower,5,1,Elm,20,0,4178,Ellie
no_blower,6,1,Elm,6,0,4178,Ellie
no_blower,7,1,Elm,20,0,4178,Ellie
no_blower,8,1,Elm,17,0,4178,Ellie
no_blower,9,1,Elm,58,1.4,4178,Ellie
no_blower,10,1,Elm,32,3.2,4178,Ellie
no_blower,11,1,Elm,26,1.8,4178,Ellie
no_blower,12,1,Elm,11,0.7,4178,Ellie
blower,1,2.5,Ash,37,0,1103,Kyle
