Plant_sp,Plant_den,Height_of_display,block,visits.all,insect_species,visits
mixed,high,short,G,21,bumblebee,3
mixed,high,short,G,21,honeybee,15
mixed,high,tall,G,0,bumblebee,0
mixed,high,tall,G,0,honeybee,0
mixed,low,short,G,1,bumblebee,0
mixed,low,short,G,1,honeybee,1
mixed,low,tall,G,0,bumblebee,0
mixed,low,tall,G,0,honeybee,0
thistle,high,short,G,6,bumblebee,4
thistle,high,short,G,6,honeybee,1
thistle,high,tall,G,0,bumblebee,0
thistle,high,tall,G,0,honeybee,0
thistle,low,short,G,1,bumblebee,0
thistle,low,short,G,1,honeybee,0
thistle,low,tall,G,0,bumblebee,0
thistle,low,tall,G,0,honeybee,0
goldenrod,high,short,H,2,bumblebee,0
goldenrod,high,short,H,2,honeybee,2
goldenrod,high,tall,H,20,bumblebee,1
goldenrod,high,tall,H,20,honeybee,19
goldenrod,low,short,H,2,bumblebee,0
goldenrod,low,short,H,2,honeybee,2
goldenrod,low,tall,H,15,bumblebee,1
goldenrod,low,tall,H,15,honeybee,10
mixed,high,short,H,1,bumblebee,1
mixed,high,short,H,1,honeybee,0
mixed,high,tall,H,23,bumblebee,0
mixed,high,tall,H,23,honeybee,17
mixed,low,short,H,0,bumblebee,0
mixed,low,short,H,0,honeybee,0
mixed,low,tall,H,3,bumblebee,0
mixed,low,tall,H,3,honeybee,3
thistle,high,short,H,2,bumblebee,0
thistle,high,short,H,2,honeybee,0
thistle,high,tall,H,5,bumblebee,1
thistle,high,tall,H,5,honeybee,0
thistle,low,short,H,2,bumblebee,1
thistle,low,short,H,2,honeybee,0
thistle,low,tall,H,4,bumblebee,1
thistle,low,tall,H,4,honeybee,1
