Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita,het_treat
01JM1,CasDec&TreMic,Hetero.diff,8,Trema_micrantha,200,0,493.33333,61.2,760,63.333333333333,18,1.5,36.666666666667,770,64.166666666667,2,6.2032100534,4.1303549997,0,4.1640779002,3
01JM1,CasSyl,Intra,7,Casearia_sylvestris,50,52,125,43.805,1150,47.916666666667,2,0.0833333333333,27.666666666667,415,17.291666666667,1,4.836281907,3.8023197403,7.2111025509,3.89011817,1
01JM1,CasSyl&CelIgu,Hetero.diff,13,Casearia_sylvestris,200,15,120,41.0325,0,0,0,0,10.6,159,13.25,2,4.7957905456,3.7384431286,3.8729833462,0,3
01JM1,CasSyl&CelIgu,Hetero.diff,13,Celtis_iguanaea,200,15,293.33333,84.4025,40,3.3333333333333,0,0,0,0,0,2,5.6847129118,4.4473753744,3.8729833462,1.4663370688,3
01JM1,CasSyl&TreMic,Hetero.diff,1,Casearia_sylvestris,200,1,130,53.235,0,0,0,0,0,0,0,2,4.8751973232,3.9933264565,1,0,3
01JM1,CasSyl&TreMic,Hetero.diff,1,Trema_micrantha,200,1,487.66667,75.9575,511.81818181818,42.651515151515,7,0.5833333333333,8.7894736842105,167,13.916666666667,2,6.1916805938,4.3432533214,1,3.7762379931,3
01JM1,CelIgu,Intra,16,Celtis_iguanaea,50,20,441,45.625,283.33333333333,11.805555555556,0,0,23.625,378,15.75,1,6.0913098821,3.842136878,4.472135955,2.5498791045,1
01JM1,CelIgu&TreMic,Hetero.same,14,Celtis_iguanaea,50,2,181,39.9625,0,0,0,0,0,0,0,2,5.2040066871,3.712657014,1.4142135624,0,2
01JM1,CelIgu&TreMic,Hetero.same,14,Trema_micrantha,50,2,481.66667,84.67,992.35294117647,82.696078431373,16,1.3333333333333,16.941176470588,288,24,2,6.1793262843,4.450502706,1.4142135624,4.4271921237,2
01JM1,TreMic,Intra,23,Trema_micrantha,50,1,484.33333,52.92,855,35.625,13,0.5416666666667,25.65,513,21.375,1,6.18483594,3.9875014666,1,3.6007310673,1
02JM2,AcnArb,Intra,6,Acnistus_arborescens,50,30,229.33333,84.66,325,13.541666666667,7,0.2916666666667,15.4,231,9.625,1,5.439527535,4.4503859722,5.4772255751,2.6770180919,1
02JM2,AcnArb&CapBac,Hetero.same,18,Acnistus_arborescens,50,15,348.66667,132.26,262.14285714286,21.845238095238,6,0.5,13.615384615385,177,14.75,2,5.8569803198,4.8923021071,3.8729833462,3.1287426972,2
02JM2,AcnArb&CapBac,Hetero.same,18,Capsicum_baccatum,50,15,117.33333,35.14,214,17.833333333333,3,0.25,30,240,20,2,4.7735055005,3.5874002852,3.8729833462,2.9356283495,2
02JM2,AcnArb&CasDec,Hetero.diff,17,Acnistus_arborescens,200,30,285,100.2625,226.875,18.90625,5,0.4166666666667,32.538461538461,423,35.25,2,5.6559918108,4.6177161552,5.4772255751,2.9910337528,3
02JM2,AcnArb&CasSyl,Hetero.diff,19,Acnistus_arborescens,200,15,280.66667,88.605,199.11111111111,16.592592592593,8,0.6666666666667,22.375,358,29.833333333333,2,5.6407243388,4.495411122,3.8729833462,2.867477938,3
02JM2,AcnArb&CasSyl,Hetero.diff,19,Casearia_sylvestris,200,15,134.66667,31.9325,100,8.3333333333333,0,0,44,44,3.6666666666667,2,4.910200897,3.4944600121,3.8729833462,2.2335922215,3
02JM2,AcnArb&CelIgu,Hetero.diff,8,Acnistus_arborescens,200,45,291.66667,87.4725,182.22222222222,15.185185185185,6,0.5,2.8823529411765,49,4.0833333333333,2,5.6790343051,4.4826917693,6.7082039325,2.7840963291,3
02JM2,AcnArb&CelIgu,Hetero.diff,8,Celtis_iguanaea,200,45,121.33333,39.46,0,0,0,0,0,0,0,2,4.8067495591,3.7003138317,6.7082039325,0,3
02JM2,AcnArb&TreMic,Hetero.diff,13,Acnistus_arborescens,200,2,226.66667,84.2125,143.33333333333,11.944444444444,2,0.1666666666667,17,51,4.25,2,5.427882571,4.4451481367,1.4142135624,2.5606666957,3
02JM2,AcnArb&TreMic,Hetero.diff,13,Trema_micrantha,200,2,435,56.68,498,41.5,14,1.1666666666667,6.9230769230769,90,7.5,2,6.0776422433,4.054910493,1.4142135624,3.7495040759,3
02JM2,All,Hetero.All,2,Acnistus_arborescens,50,5,282,187.0575,198.75,49.6875,4,1,17.857142857143,125,31.25,6,5.6454468976,5.2367477671,2.2360679775,3.9256793319,6
02JM2,All,Hetero.All,2,Capsicum_baccatum,50,5,125,38.79,283.63636363636,70.909090909091,0,0,48.714285714286,341,85.25,6,4.836281907,3.6836156244,2.2360679775,4.275402695,6
02JM2,All,Hetero.All,2,Casearia_sylvestris,50,5,112,36.845,115,28.75,0,0,0,0,0,6,4.7273878187,3.6334988708,2.2360679775,3.392829132,6
02JM2,All,Hetero.All,2,Celtis_iguanaea,50,5,147.33333,56.8225,0,0,0,0,0,0,0,6,4.9994619933,4.0573779733,2.2360679775,0,6
02JM2,All,Hetero.All,2,Trema_micrantha,50,5,227,0,305,76.25,6,1.5,10.8,54,13.5,6,5.429345629,0,2.2360679775,4.3470469158,6
02JM2,CapBac,Intra,7,Capsicum_baccatum,50,2,169.33333,39.205,595,24.791666666667,11,0.4583333333333,23.428571428571,328,13.666666666667,1,5.1377573013,3.693991366,1.4142135624,3.2500514423,1
02JM2,CapBac&CasDec,Hetero.diff,10,Capsicum_baccatum,200,10,159.66667,44.3225,373.07692307692,31.089743589744,4,0.3333333333333,25.5625,409,34.083333333333,2,5.0793318256,3.8138035979,3.1622776602,3.4685364647,3
02JM2,CapBac&CasSyl,Hetero.diff,22,Capsicum_baccatum,200,15,138,40.42,471.41666666667,39.284722222222,4,0.3333333333333,20.071428571429,281,23.416666666667,2,4.9344739331,3.723763856,3.8729833462,3.6959722959,3
02JM2,CapBac&CasSyl,Hetero.diff,22,Casearia_sylvestris,200,15,166.66667,47.425,320,26.666666666667,0,0,2,4,0.3333333333333,2,5.1219778816,3.8800162093,3.8729833462,3.3202283191,3
