,ANMA_sum,BANA_sum,BFGR_sum,BRMA_sum,COGD_sum,EUCD_sum,GAGR_sum,GRAK_sum,GTCA_sum,NOMO_sum,PETH_sum,PRSP_sum,PRWO_sum,RLTH_sum,SNPI_sum,WCPI_sum,WWDO_sum,WWPA_sum,ZEND_sum
2-RP-CC1,0,15,5,0,0,0,39,19,0,7,7,9,0,0,9,0,42,0,11
3-RP-A,0,11,14,0,17,1,39,5,0,13,0,3,1,3,0,0,15,0,27
3-RP-A1,0,4,36,0,11,0,39,34,0,16,0,6,3,0,2,0,18,0,21
3-RP-B,0,29,23,0,6,2,16,0,0,3,2,3,0,0,2,0,12,0,11
3-RP-B1,0,22,50,0,6,2,8,5,0,3,2,0,0,0,0,0,21,0,43
3-RP-C,0,29,27,0,0,1,47,10,0,16,2,6,1,3,0,0,18,0,21
3-RP-C1,0,15,27,0,14,2,55,10,0,3,2,0,0,0,2,0,53,0,21
4-RP-AA,0,29,27,0,3,0,63,5,0,0,0,0,0,0,0,0,12,0,21
4-RP-AA1,0,18,32,0,3,0,55,5,0,3,0,6,0,0,2,0,21,5,21
4-RP-BB,2,7,32,0,8,0,71,0,0,0,0,3,0,0,0,0,30,2,27
4-RP-BB1,0,4,9,1,8,0,55,0,0,0,10,0,0,6,2,0,21,0,21
4-RP-CC,0,26,36,0,11,0,79,19,0,7,2,9,0,0,0,0,59,0,5
4-RP-CC1,0,26,14,0,3,1,410,5,0,10,2,3,0,0,0,0,158,1,21
7-GUA-A,0,7,14,0,8,0,16,5,0,3,0,0,0,0,7,0,9,0,16
7-GUA-A1,0,11,9,0,8,0,47,5,2,3,2,0,1,0,7,0,6,0,27
7-GUA-B,0,4,9,0,3,0,142,0,0,7,0,6,0,3,2,0,6,0,16
7-GUA-B1,0,11,14,0,0,0,63,0,0,7,2,0,0,0,0,3,9,0,11
7-GUA-C,0,11,5,0,6,0,16,0,0,0,5,0,0,0,2,0,9,0,0
7-GUA-C1,0,11,9,0,0,0,87,10,2,3,0,0,0,0,2,0,6,0,5
8-GUA-AA,0,18,14,0,0,1,39,0,4,0,0,3,0,0,0,0,15,0,16
8-GUA-AA1,0,7,18,0,0,4,16,10,2,3,2,6,1,3,0,0,9,0,16
8-GUA-BB,0,15,5,0,0,4,47,0,0,3,0,6,0,0,0,0,18,0,27
8-GUA-BB1,0,26,18,0,22,12,39,0,0,3,0,3,0,0,0,0,3,0,16
8-GUA-CC,0,4,5,0,11,1,32,5,0,0,5,0,1,0,0,0,9,0,21
8-GUA-CC1,0,22,9,0,0,6,110,5,0,0,0,6,3,0,0,0,0,0,5
9-BAY-A,0,22,5,0,3,0,55,10,0,13,0,0,0,9,0,0,9,0,16
9-BAY-A1,0,18,0,0,0,0,8,5,0,7,0,0,0,3,0,0,9,0,16
9-BAY-B,2,11,9,0,6,0,24,0,0,3,0,0,0,9,0,0,9,0,21
9-BAY-B1,0,11,5,0,0,0,24,5,0,3,0,6,0,3,0,0,12,5,21
9-BAY-C,2,11,14,0,11,0,47,5,0,0,0,3,0,6,0,0,15,0,27
9-BAY-C1,0,4,9,0,17,0,24,10,0,10,0,3,0,3,2,0,9,0,21
