Site,Treatment,Plant Species,phylo_dist,Label,Data
1JM1,CasDecCasSyl,CasSyl,25.3,pollinator,0
1JM1,CasDecCasSyl,CasSyl,25.3,predator,0
1JM1,CasDecCelIgu,CasDec,231.6,ant,0
1JM1,CasDecCelIgu,CasDec,231.6,herbivore,0
1JM1,CasDecCelIgu,CasDec,231.6,phloem_feeder,0
1JM1,CasDecCelIgu,CasDec,231.6,pollinator,0
1JM1,CasDecCelIgu,CasDec,231.6,predator,1
1JM1,CasDecCelIgu,CelIgu,231.6,ant,1
1JM1,CasDecCelIgu,CelIgu,231.6,herbivore,3
1JM1,CasDecCelIgu,CelIgu,231.6,phloem_feeder,3
1JM1,CasDecCelIgu,CelIgu,231.6,pollinator,0
1JM1,CasDecCelIgu,CelIgu,231.6,predator,0
1JM1,CasDecTreMic,CasDec,231.6,ant,0
1JM1,CasDecTreMic,CasDec,231.6,herbivore,1
1JM1,CasDecTreMic,CasDec,231.6,phloem_feeder,1
1JM1,CasDecTreMic,CasDec,231.6,pollinator,0
1JM1,CasDecTreMic,CasDec,231.6,predator,0
1JM1,CasDecTreMic,TreMic,231.6,ant,0
1JM1,CasDecTreMic,TreMic,231.6,herbivore,1
1JM1,CasDecTreMic,TreMic,231.6,phloem_feeder,1
1JM1,CasDecTreMic,TreMic,231.6,pollinator,0
1JM1,CasDecTreMic,TreMic,231.6,predator,0
1JM1,CasSyl,CasSyl,0,ant,0
1JM1,CasSyl,CasSyl,0,herbivore,1
1JM1,CasSyl,CasSyl,0,phloem_feeder,2
1JM1,CasSyl,CasSyl,0,pollinator,0
1JM1,CasSyl,CasSyl,0,predator,0
1JM1,CasSylCelIgu,CelIgu,231.6,ant,0
1JM1,CasSylCelIgu,CelIgu,231.6,herbivore,1
1JM1,CasSylCelIgu,CelIgu,231.6,phloem_feeder,1
1JM1,CasSylCelIgu,CelIgu,231.6,pollinator,0
1JM1,CasSylCelIgu,CelIgu,231.6,predator,0
1JM1,CasSylTreMic,TreMic,231.6,ant,0
1JM1,CasSylTreMic,TreMic,231.6,herbivore,5
1JM1,CasSylTreMic,TreMic,231.6,phloem_feeder,2
1JM1,CasSylTreMic,TreMic,231.6,pollinator,0
1JM1,CasSylTreMic,TreMic,231.6,predator,0
1JM1,CelIgu,CelIgu,0,ant,1
1JM1,CelIgu,CelIgu,0,herbivore,4
1JM1,CelIgu,CelIgu,0,phloem_feeder,1
1JM1,CelIgu,CelIgu,0,pollinator,1
1JM1,CelIgu,CelIgu,0,predator,0
1JM1,CelIguTreMic,CelIgu,134.3,ant,0
1JM1,CelIguTreMic,CelIgu,134.3,herbivore,0
1JM1,CelIguTreMic,CelIgu,134.3,phloem_feeder,2
1JM1,CelIguTreMic,CelIgu,134.3,pollinator,0
1JM1,CelIguTreMic,CelIgu,134.3,predator,0
1JM1,CelIguTreMic,TreMic,134.3,ant,0
