Site,Ammodramus_humeralis,Basileuterus_culicivorus,Cacicus_chrysopterus,Camptostoma_obsoletum,Chrysomus_ruficapillus,Coereba_flaveola,Colaptes_campestris,Columbina_picui,Columbina_squammata,Columbina_talpacoti,Coryphospingus_cucullatus,Crotophaga_ani,Cyanocorax_chrysops,Cyanoloxia_brissonii,Dacnis_cayana,Elaenia_sp,Emberizoides_herbicola,Empidonomus_varius,Euphonia_chlorotica,Euphonia_violacea,Fluvicola_nengeta,Forpus_xanthopterygius,Furnarius_rufus,Geothlypis_aequinoctialis,Guira_guira,Habia_rubica,Icterus_pyrrhopterus,Legatus_leucophaius,Leptotila_rufaxilla,Leptotila_verreauxi,Machetornis_rixosa,Megarynchus_pitangua,Melanerpes_candidus,Mimus_saturninus,Mionectes_rufiventris,Molothrus_bonariensis,Myiarchus_sp,Myiodynastes_maculatus,Myiothlypis_flaveola,Myiozetetes_similis,Nemosia_pileata,Not_identified,Passer_domesticus,Patagioenas_cayennensis,Patagioenas_picazuro,Patagioenas_sp,Piaya_cayana,Pitangus_sulphuratus,Pyrocephalus_rubinus,Ramphastos_toco,Ramphocelus_carbo,Serpophaga_subcristata,Setophaga_pitiayumi,Sicalis_flaveola,Sicalis_luteola,Sicalis_sp,Spinus_magellanicus,Sporophila_caerulescens,Sporophila_lineola,Sporophila_sp,Stilpnia_cayana,Synallaxis_sp,Tachyphonus_coronatus,Tangara_seledon,Tapera_naevia,Tersina_viridis,Thamnophilus_caerulescens,Thamnophilus_doliatus,Thlypopsis_sordida,Thraupis_ornata,Thraupis_palmarum,Thraupis_sayaca,Thraupis_sp,Trichothraupis_melanops,Troglodytes_aedon,Troglodytes_musculus,Turdus_amaurochalinus,Turdus_leucomelas,Turdus_rufiventris,Turdus_sp,Tyrannus_melancholicus,Tyrannus_savana,Vireo_chivi,Volatinia_jacarina,Xolmis_velatus,Zenaida_auriculata,Zonotrichia_capensis
2.two06PF2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,14,16,0,1,0,0,0,10,0,0,0,0,2,0,0,0,1,0,0,5,0,0,15,1,0,0,0,8,1,0,2,0,0,10,0,0,0,0,0,3,0,0,0,10,1,0,5,0,7,0,0,1,0,0,0,0,1,13,0,0,0,2,0,8,2,0,8,1,0,9,0,0,22
2.two07ZM,2,0,0,0,0,1,3,0,0,2,0,0,0,0,3,21,0,0,0,0,2,6,2,0,0,0,0,0,0,1,0,0,0,5,1,0,13,5,0,0,0,1,0,0,2,0,0,9,0,0,0,0,0,10,6,0,6,0,3,0,1,0,6,0,0,0,0,0,0,0,0,20,0,2,0,2,0,1,4,0,14,0,0,11,0,0,10
2.two08NEI,0,0,0,2,0,0,0,0,0,2,0,3,0,0,4,12,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0,5,1,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,1,0,16,0,0,6
2.two09DITO,0,0,0,0,0,0,0,1,0,5,0,0,0,0,8,9,0,2,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,3,0,6,0,0,1,0,0,8,0,0,0,0,0,11,0,0,5,2,3,0,0,0,2,0,0,0,0,0,0,1,0,15,0,0,0,0,0,4,1,0,1,2,0,6,0,6,27
2.two10JG,5,0,0,0,0,0,0,0,0,2,0,1,9,0,6,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,5,5,4,0,2,0,3,0,0,2,0,0,13,0,0,0,0,1,0,0,0,1,6,1,0,3,0,9,0,0,0,2,0,0,0,0,25,0,0,0,4,0,16,0,0,11,6,0,25,0,0,29
4.four01JM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
4.four02JM2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
4.four03SS,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,1
4.four04AJ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,11,0,0,7
4.four05PF1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4.four06PF2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,6
4.four07ZM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.four08NEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
4.four09DITO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
4.four10JG,0,0,0,2,0,0,0,0,0,1,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,4
