site,Treatment,plant_sp,plant_id,Treat2,branching,avg.dbh.mm
03SS,CelIgu&TreMic,Trema_micrantha,TreMic20a,Hetero.same,1,3843.203707
03SS,CelIgu&TreMic,Trema_micrantha,TreMic21a,Hetero.same,1,1804.873963
03SS,CelIgu&TreMic,Trema_micrantha,TreMic22a,Hetero.same,2,1557.089929
03SS,CelIgu&TreMic,Trema_micrantha,TreMic23a,Hetero.same,1,2131.629899
03SS,CelIgu&TreMic,Trema_micrantha,TreMic24a,Hetero.same,1,3273.902474
03SS,TreMic,Trema_micrantha,TreMic16a,Intra,1,2050.602199
03SS,TreMic,Trema_micrantha,TreMic17a,Intra,1,1125.202986
03SS,TreMic,Trema_micrantha,TreMic18a,Intra,1,1939.801019
03SS,TreMic,Trema_micrantha,TreMic19a,Intra,1,2005.118906
04AJ,AcnArb,Acnistus_arborescens,AcnArb28v,Intra,3,606.915057
04AJ,AcnArb,Acnistus_arborescens,AcnArb29v,Intra,4,331.5103474
04AJ,AcnArb,Acnistus_arborescens,AcnArb30v,Intra,1,2950.749139
04AJ,AcnArb,Acnistus_arborescens,AcnArb31v,Intra,2,1007.625765
04AJ,AcnArb&CapBac,Acnistus_arborescens,AcnArb24v,Hetero.same,4,1151.870143
04AJ,AcnArb&CapBac,Acnistus_arborescens,AcnArb25v,Hetero.same,1,4992.649063
04AJ,AcnArb&CapBac,Acnistus_arborescens,AcnArb26v,Hetero.same,2,1734.285507
04AJ,AcnArb&CapBac,Acnistus_arborescens,AcnArb27v,Hetero.same,3,821.3740478
04AJ,AcnArb&CapBac,Capsicum_baccatum,CapBac32v,Hetero.same,1,668.8640385
04AJ,AcnArb&CapBac,Capsicum_baccatum,CapBac33v,Hetero.same,1,926.2391625
04AJ,AcnArb&CapBac,Capsicum_baccatum,CapBac34v,Hetero.same,1,642.0986
04AJ,AcnArb&CapBac,Capsicum_baccatum,CapBac35v,Hetero.same,2,149.0329565
04AJ,AcnArb&CasDec,Acnistus_arborescens,AcnArb51p,Hetero.diff,1,2132.448104
04AJ,AcnArb&CasDec,Acnistus_arborescens,AcnArb52p,Hetero.diff,1,5568.011594
04AJ,AcnArb&CasDec,Acnistus_arborescens,AcnArb53p,Hetero.diff,1,5441.798666
04AJ,AcnArb&CasDec,Acnistus_arborescens,AcnArb54p,Hetero.diff,2,726.2740323
04AJ,AcnArb&CasDec,Casearia_decandra,CasDec63p,Hetero.diff,1,59.5533185
04AJ,AcnArb&CasDec,Casearia_decandra,CasDec64p,Hetero.diff,1,59.0075865
04AJ,AcnArb&CasDec,Casearia_decandra,CasDec65p,Hetero.diff,2,42.4076625
04AJ,AcnArb&CasSyl,Acnistus_arborescens,AcnArb98a,Hetero.diff,3,503.364451
04AJ,AcnArb&CasSyl,Acnistus_arborescens,AcnArb99a,Hetero.diff,4,774.4718351
04AJ,AcnArb&CasSyl,Acnistus_arborescens,AcnArb100a,Hetero.diff,3,519.155825
04AJ,AcnArb&CasSyl,Acnistus_arborescens,AcnArb101a,Hetero.diff,2,750.0026983
04AJ,AcnArb&CasSyl,Casearia_sylvestris,CasSyl84a,Hetero.diff,1,315.257256
04AJ,AcnArb&CasSyl,Casearia_sylvestris,CasSyl85a,Hetero.diff,2,88.69514825
04AJ,AcnArb&CasSyl,Casearia_sylvestris,CasSyl86a,Hetero.diff,1,243.714554
04AJ,AcnArb&CasSyl,Casearia_sylvestris,CasSyl87a,Hetero.diff,4,64.62932475
04AJ,AcnArb&CelIgu,Acnistus_arborescens,AcnArb102a,Hetero.diff,1,991.526906
04AJ,AcnArb&CelIgu,Acnistus_arborescens,AcnArb103a,Hetero.diff,1,1742.191399
04AJ,AcnArb&CelIgu,Acnistus_arborescens,AcnArb104a,Hetero.diff,2,446.91149
04AJ,AcnArb&CelIgu,Acnistus_arborescens,AcnArb105a,Hetero.diff,3,306.4180252
04AJ,AcnArb&CelIgu,Celtis_iguanaea,CelIgu85a,Hetero.diff,1,58.1936985
04AJ,AcnArb&CelIgu,Celtis_iguanaea,CelIgu86a,Hetero.diff,1,95.330714
04AJ,AcnArb&CelIgu,Celtis_iguanaea,CelIgu87a,Hetero.diff,1,49.8639065
04AJ,AcnArb&CelIgu,Celtis_iguanaea,CelIgu88a,Hetero.diff,1,63.4437785
04AJ,AcnArb&TreMic,Acnistus_arborescens,AcnArb32v,Hetero.diff,2,1454.844425
04AJ,AcnArb&TreMic,Acnistus_arborescens,AcnArb33v,Hetero.diff,2,1196.846875
04AJ,AcnArb&TreMic,Acnistus_arborescens,AcnArb34v,Hetero.diff,2,1436.901876
04AJ,AcnArb&TreMic,Acnistus_arborescens,AcnArb35v,Hetero.diff,2,1862.057091
04AJ,AcnArb&TreMic,Trema_micrantha,TreMic25v,Hetero.diff,1,541.326266
04AJ,AcnArb&TreMic,Trema_micrantha,TreMic26v,Hetero.diff,1,1415.238506
04AJ,AcnArb&TreMic,Trema_micrantha,TreMic27v,Hetero.diff,1,833.243274
04AJ,AcnArb&TreMic,Trema_micrantha,TreMic28v,Hetero.diff,1,403.078346
04AJ,All,Acnistus_arborescens,AcnArb36v,Hetero.All,3,669.607041
04AJ,All,Acnistus_arborescens,AcnArb37v,Hetero.All,2,2452.143515
04AJ,All,Acnistus_arborescens,AcnArb38,Hetero.All,4,645.2198581
04AJ,All,Acnistus_arborescens,AcnArb39v,Hetero.All,2,2003.4613
04AJ,All,Capsicum_baccatum,CapBac36v,Hetero.All,1,1599.531386
04AJ,All,Capsicum_baccatum,CapBac37v,Hetero.All,1,1362.411146
04AJ,All,Casearia_decandra,CasDec32v,Hetero.All,1,70.6971785
04AJ,All,Casearia_decandra,CasDec33v,Hetero.All,1,108.194666
04AJ,All,Casearia_sylvestris,CasSyl42v,Hetero.All,2,124.769156
04AJ,All,Casearia_sylvestris,CasSyl43v,Hetero.All,1,36.8341625
04AJ,All,Casearia_sylvestris,CasSyl44v,Hetero.All,1,164.591264
04AJ,All,Casearia_sylvestris,CasSyl45v,Hetero.All,4,87.6255465
04AJ,All,Celtis_iguanaea,CelIgu43v,Hetero.All,1,126.4133385
04AJ,All,Celtis_iguanaea,CelIgu44v,Hetero.All,1,234.399744
04AJ,All,Celtis_iguanaea,CelIgu45v,Hetero.All,1,90.547866
04AJ,All,Trema_micrantha,TreMic29v,Hetero.All,1,142.219706
04AJ,All,Trema_micrantha,TreMic30v,Hetero.All,1,2720.556367
04AJ,All,Trema_micrantha,TreMic31v,Hetero.All,1,449.5262465
04AJ,All,Trema_micrantha,TreMic32v,Hetero.All,1,327.967976
04AJ,CapBac,Capsicum_baccatum,CapBac79p,Intra,1,1820.717696
04AJ,CapBac,Capsicum_baccatum,CapBac80p,Intra,1,1669.013699
04AJ,CapBac,Capsicum_baccatum,CapBac81p,Intra,3,357.4573122
04AJ,CapBac,Capsicum_baccatum,CapBac82p,Intra,2,101.5966625
04AJ,CapBac&CasDec,Capsicum_baccatum,Capbac71a,Hetero.diff,2,852.0381365
04AJ,CapBac&CasDec,Capsicum_baccatum,CapBac72a,Hetero.diff,1,159.627866
04AJ,CapBac&CasDec,Capsicum_baccatum,CapBac73a,Hetero.diff,2,367.7951473
04AJ,CapBac&CasDec,Capsicum_baccatum,CapBac74a,Hetero.diff,1,1378.15385
04AJ,CapBac&CasDec,Casearia_decandra,CasDec88a,Hetero.diff,1,136.364234
